,Position,Track Name,Artist,Streams,URL,date
0,1,Look What You Made Me Do,Taylor Swift,152766,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR,2017-08-27
1,2,Shape of You,Ed Sheeran,146292,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-08-27
2,3,打上花火,DAOKO×米津玄師,144454,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ,2017-08-27
3,4,Friends (with BloodPop®),Justin Bieber,110832,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz,2017-08-27
4,5,Despacito - Remix,Luis Fonsi,105296,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-08-27
5,6,2U (feat. Justin Bieber),David Guetta,88424,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M,2017-08-27
6,7,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,86246,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,2017-08-27
7,8,Mama,Jonas Blue,86066,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w,2017-08-27
8,9,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,85868,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke,2017-08-27
9,10,Without You (feat. Sandro Cavazza),Avicii,84193,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE,2017-08-27
10,11,New Rules,Dua Lipa,82126,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2017-08-27
11,12,TT - Japanese ver.,TWICE,77196,https://open.spotify.com/track/0PAyiPTz8gL0udQnSasc5G,2017-08-27
12,13,Sorry Not Sorry,Demi Lovato,75193,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex,2017-08-27
13,14,Attention,Charlie Puth,73394,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,2017-08-27
14,15,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,71660,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,2017-08-27
15,16,Something Just Like This,The Chainsmokers,70552,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-08-27
16,17,Mi Gente,J Balvin,70507,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2017-08-27
17,18,Unforgettable,French Montana,70289,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,2017-08-27
18,19,There's Nothing Holdin' Me Back,Shawn Mendes,70222,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2017-08-27
19,20,Your Song,Rita Ora,69528,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5,2017-08-27
20,21,Stay (with Alessia Cara),Zedd,65537,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-08-27
21,22,Havana,Camila Cabello,65184,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2017-08-27
22,23,My Boo,Shota Shimizu,63347,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03,2017-08-27
23,24,More Than You Know,Axwell /\ Ingrosso,62988,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs,2017-08-27
24,25,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,62025,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6,2017-08-27
25,26,Strip That Down,Liam Payne,61264,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,2017-08-27
26,27,Lonely Together (feat. Rita Ora),Avicii,60639,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,2017-08-27
27,28,I Like Me Better,Lauv,57957,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,2017-08-27
28,29,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,57473,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,2017-08-27
29,30,Wherever you are,ONE OK ROCK,56970,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ,2017-08-27
30,31,Closer,The Chainsmokers,56235,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-08-27
31,32,RAIN,SEKAI NO OWARI,55746,https://open.spotify.com/track/0aFUi8kAIUcLEaM6LylNui,2017-08-27
32,33,Silence,Marshmello,54423,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,2017-08-27
33,34,Symphony (feat. Zara Larsson),Clean Bandit,53693,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-08-27
34,35,Fetish (feat. Gucci Mane),Selena Gomez,52819,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq,2017-08-27
35,36,TT,TWICE,50439,https://open.spotify.com/track/1nMbZ9OsVNSLEyijI80EST,2017-08-27
36,37,Glorious (feat. Skylar Grey),Macklemore,50322,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR,2017-08-27
37,38,There for You,Martin Garrix,49775,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,2017-08-27
38,39,恋音と雨空,AAA,49711,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N,2017-08-27
39,40,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,49579,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,2017-08-27
40,41,What Do You Mean?,Justin Bieber,49342,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI,2017-08-27
41,42,Dream,Shota Shimizu,49284,https://open.spotify.com/track/6PO8T4qt3FHfauSs98zO9j,2017-08-27
42,43,That's What I Like,Bruno Mars,49151,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-08-27
43,44,SIGNAL - Japanese ver.,TWICE,48412,https://open.spotify.com/track/4R7QVSqBN0koJHcOL7PGb5,2017-08-27
44,45,Down,Fifth Harmony,47317,https://open.spotify.com/track/20H2Hd5AkUcRjB4yL3UQtJ,2017-08-27
45,46,Get Low (with Liam Payne),Zedd,45710,https://open.spotify.com/track/1CKd1PnqfYx0H12V9MSaIY,2017-08-27
46,47,Thunder,Imagine Dragons,45199,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2017-08-27
47,48,SORA,GENERATIONS from EXILE TRIBE,44544,https://open.spotify.com/track/3Xrd2febrBti5pNuRTVmra,2017-08-27
